title,lat,lng,rating_overall,reviews_count,rating_accuracy,rating_cleanliness,rating_value,rating_location,nightly_price,has_rating,bedrooms,bathrooms,description_length,has_wifi,has_pool,has_pyramid_view
"ETERNA.Suite W Jaccuzi, Pyramids View & Balcony",29.97387300537576,31.14660260225765,4.95,133.0,4.96,4.92,4.92,4.79,150.0,True,1,1.0,328,True,True,False
king khufu suite,29.9863,31.1431,5.0,62.0,5.0,5.0,4.97,4.85,105.37,True,1,1.0,80,False,True,True
Akasia Pyramids View,29.9781,31.1454,4.91,176.0,4.91,4.91,4.95,4.78,38.64,True,1,1.0,98,False,False,True
Mountain Cave | Pyramids View & Jacuzzi,29.97909,31.14692,4.92,12.0,5.0,4.75,4.58,4.75,118.49,True,1,1.0,249,True,True,True
Heaven of Pyramids,29.97878673915087,31.144190688282396,4.71,125.0,4.74,4.61,4.8,4.66,23.22,True,1,1.0,119,False,False,True
Luxury apartment with a view of the Nile in Old Cairo,30.0164,31.2291,5.0,3.0,5.0,5.0,5.0,5.0,83.2,True,3,3.0,58,False,False,False
Horserider's home - with view of pyramids+terrace,29.9679,31.1437,4.94,112.0,4.98,5.0,4.97,4.82,36.29,True,3,1.0,1549,True,False,True
Dream inn Pyramids View Suite,29.9871,31.1342,5.0,4.0,5.0,5.0,5.0,5.0,62.05,True,1,1.0,75,True,False,True
"ETERNA.Suite 2 W Jaccuzi, Pyramids view & Balcony",29.9732143956158,31.14478427610821,4.96,128.0,4.98,4.92,4.95,4.83,120.0,True,1,1.0,344,True,True,False
Pyramids View Residence Apartment,29.982,31.1471,4.96,79.0,4.95,4.9,4.9,4.67,164.85,True,3,2.0,274,False,False,True
Lotus  signature hotel 603,29.984,31.1458,5.0,20.0,5.0,4.9,5.0,5.0,41.6,True,1,1.0,33,False,False,False
Cairo-downtown modern apartment,30.035646849671533,31.24124611103161,4.96,103.0,4.95,4.96,4.96,4.68,51.52,True,3,1.0,79,True,False,False
Cozy &Co.,30.02806208126516,31.42137037589135,5.0,5.0,5.0,5.0,5.0,5.0,35.13,True,1,1.0,72,True,False,False
Condotel for rent in Zamalek,30.0649,31.2163,5.0,2.0,5.0,5.0,5.0,5.0,51.05,True,1,2.0,7,False,False,False
grey l studio apartments DT CAI Bidair House,30.05045,31.23987,4.9,71.0,4.89,4.93,4.9,4.83,57.0,True,0,1.0,55,False,False,False
Stylish Twin Room with Cozy Boho Decor,30.038789098223774,31.234576002090087,4.95,62.0,5.0,4.95,4.97,4.95,23.42,True,3,1.0,55,False,False,False
Legend Of Majestic Pyramids View Apartment,29.9784,31.1463,5.0,10.0,5.0,4.6,4.8,4.8,84.3,True,3,1.0,131,False,False,True
Artistic Home with Natural Charm & Pyramids View,29.9767,31.1419,4.87,99.0,4.89,4.65,4.75,4.85,174.45,True,1,1.0,538,False,True,True
"Cleopatra’s Suite Pyramids View ,jacuzzi & balcony",29.98679862460608,31.14358046889973,4.99,150.0,4.99,4.94,4.97,4.83,128.79,True,1,1.0,53,False,True,True
Vibrant & Bright Rooftop Apartment w/Outdoors Tub,29.96119,31.26367,5.0,41.0,5.0,5.0,4.95,4.98,150.8,True,2,1.0,286,False,False,False
Kemet Pyramids Room view,29.976,31.1401,4.93,111.0,4.95,4.83,4.91,4.95,45.0,True,3,1.0,270,True,False,True
Khufu's Heaven Pyramids View,29.9863,31.1433,4.9,163.0,4.9,4.81,4.89,4.79,86.53,True,3,3.0,74,False,False,False
Eterna Triple room With rooftop Pyramids V access,29.973661832681977,31.14582930077368,4.96,92.0,4.96,4.95,4.98,4.88,37.0,True,0,1.0,316,True,False,False
First Row to Pyramids 2BDR Apt,29.9841,31.1378,4.97,162.0,4.95,4.88,4.94,4.86,81.02,True,2,1.0,170,True,False,True
Enchanting Apartment in Downtown Heritage Building,30.04745,31.24015,4.97,118.0,4.98,4.94,4.94,4.88,143.67,True,2,1.0,247,False,False,False
Rixoss Apartment Pyramids,29.9728,31.1457,4.9,98.0,4.91,4.83,4.89,4.83,67.87,True,2,1.0,144,True,False,True
VIP Jacuzzi Suite | Front Row Pyramids View,29.98471567187197,31.145669188516848,4.85,13.0,4.85,4.92,4.92,4.77,62.89,True,1,1.0,77,True,True,False
Stylish 3BR Central Stay | Near Airport | Sleeps 8,30.0458,31.3437,5.0,9.0,5.0,5.0,5.0,4.78,70.4,True,3,2.0,203,True,False,False
Apt.3 l Stunning Nile View in the Heart of Zamalek,30.0677,31.2211,5.0,3.0,4.67,5.0,5.0,5.0,159.6,True,3,2.5,153,True,False,False
"Isis suite pyramids view, jacuzzi",29.9864,31.1433,4.96,28.0,4.96,5.0,4.96,4.93,81.96,True,1,1.0,199,True,True,True
Eterna Studio Pyramids View With Bathtub,29.97178518396302,31.14641889564103,4.88,123.0,4.85,4.77,4.86,4.68,70.0,True,1,1.0,291,True,True,True
Chestnut Apt Zamalek Cairo 1 Bedroom,30.065,31.22015,5.0,4.0,5.0,5.0,5.0,5.0,67.45,True,1,1.0,59,False,False,False
Cairo Airport cozy 1 Bedroom Apartment,30.1249,31.3672,5.0,47.0,4.98,4.96,4.98,4.87,35.62,True,1,1.5,230,True,False,False
Mountain Cave Retreat: Pyramids View & Jacuzzi,29.9783,31.1463,4.54,13.0,4.46,4.46,4.38,4.46,153.38,True,1,1.0,207,False,True,False
Brassbell l DT l Hannaux Studio | Tahrir sq,30.04832278971471,31.237424157569286,4.91,90.0,4.93,4.9,4.93,4.99,57.0,True,0,1.0,57,False,False,False
Artistic Pyramids View & Hot Tub,29.9765,31.1418,4.83,115.0,4.81,4.71,4.69,4.73,116.14,True,1,1.0,64,False,True,True
Hi Pyramids,29.97934,31.14494,4.95,343.0,4.96,4.92,4.92,4.82,126.68,True,3,1.0,216,True,False,True
