id,bedrooms,bathrooms
1292713234154945394,1,1.0
1508718511630646313,1,
1297327219631789358,1,1.0
1606001853199411128,1,1.0
1314833467096489875,1,
1659657874693440489,3,3.0
1325995807818486852,,
1635000929921804262,1,
1292713202731607754,1,1.0
1492832915624769683,3,2.0
1580349144943685719,1,
1258668362052840121,3,1.0
1652538850163316996,1,1.0
1660949085003989386,1,2.0
1531810922875264909,0 (studio),1.0
1385088880964921541,,
1618228513877168542,3,1.0
1328248354526585309,1,1.0
1412438800329137974,1,1.0
1484714498056100115,2,1.0
981120709957763653,,
1199193622730754940,3,3.0
1332513688509423570,0 (studio),
1196851743231572540,2,1.0
1237474025614245965,2,1.0
1388701191802240736,2,1.0
1587737008553153745,1,
1623567061307030021,3,2.0
1651541529716269313,3,2.5
1598677226571552739,1,1.0
1292757177520220344,1,
1641648033727638678,1,1.0
1559429248654893625,1,1.5
1605981262332320587,1,1.0
1305127222391813036,0 (studio),1.0
1302962421028700813,1,1.0
32400629,3,1.0
1296455814818326300,1,1.0
1129860019173232966,2,1.0
1539209027124180030,1,
1532706991486014852,2,2.0
1577474590524023582,1,1.0
1496606250151997425,1,1.0
1424085861412803618,1,1.0
1332471318833527819,1,1.0
1648029920565612244,3,3.0
981120216738667261,1,
40835765,2,2.0
41575953,3,1.5
1601405665390376996,1,1.0
1441502113515038503,2,1.0
954203933863538216,2,1.0
1641637336624493763,2,2.0
1485950705456719946,3,2.0
1146176885899217294,4,3.0
42767850,3,2.0
1584187817659087341,6,6.0
1155301453465176925,2,1.5
876051604806114175,,
1431877289693006334,1,1.0
1651493311021458586,1,1.0
1440018853237427013,1,1.0
1403817032037387477,8,3.0
1605720793006535959,1,
1397694527639845105,2,2.0
1569485916342726489,3,3.0
1104116827677708480,,
1556510408515026470,3,2.0
1352352955064470854,3,2.0
1498906658243578803,3,3.0
33851906,3,4.0
1335110769727741118,3,3.0
1448388580371987584,1,1.0
1187786914734707838,3,2.0
1491441495626190165,1,1.0
1145843095317517701,3,4.0
1215770463637762104,3,4.0
1569485803452402154,2,2.0
1517792834012970752,0 (studio),0.0
1563288267146291409,3,3.0
1615388358699721309,3,3.0
1221053310713368188,,
1459997441523262270,1,1.0
36988796,9,
1659028564195855331,3,2.0
1310133675077062247,1,3.0
1655274466078332833,4,4.5
1446467533934195553,1,2.0
1655776597949850542,3,3.0
1508828291068445336,3,4.0
1443784874744124942,2,2.0
30243787,1,2.0
1344838669656893267,1,1.0
1216052727113394952,,
1174850752917317405,,
1147208055353968918,3,4.0
51953229,3,1.0
555180799956858554,5,3.0
48145763,4,3.0
1042063266374748336,4,4.0
1514843610059047574,3,2.0
1451468709932612459,4,4.0
849542966954475787,3,3.0
1219664717462757711,,
1561052950202885243,3,2.0
1283388477975475614,4,4.0
1595627764307300025,3,3.0
729682266919743139,3,3.0
1441595701382845298,3,2.0
1484706355938914736,3,2.0
1355884083437555674,9,8.0
1181079249870074062,4,3.5
1276113745863188023,3,2.5
1269664768452440583,2,1.5
1544982572677727041,12,10.0
1017307059720239353,6,5.0
1662729154600712278,5,5.0
1596006519280876385,2,1.5
1032367854841393071,1,1.0
1483926353070909494,4,4.0
1412388051602865308,3,3.0
1079751915569966274,5,6.5
976960526172801286,8,10.0
1536264956482074244,6,4.5
628120358260176727,2,1.0
1568327623656726305,7,6.0
50282660,5,5.0
1563829432122315890,7,8.0
1195167029056800226,3,2.0
1480462795733156229,3,2.0
1447079978041398947,14,16.0
1516588329475180067,6,8.0
708762036352809823,3,2.5
1609393874846735688,2,1.0
28047935,4,5.0
1551674996314432630,6,6.0
712292176311959219,3,
1176132288355809859,1,2.0
1207356658832145603,0 (studio),1.0
1548603738636865263,3,3.0
1637879979508535326,3,2.0
1019309529827681916,2,2.0
50134729,7,7.0
33353618,3,1.0
689792922435868876,3,3.5
1618975446217014594,7,10.0
1600669891405633771,3,3.0
47883566,1,2.0
1612579527182834381,6,10.0
52379135,1,1.0
1579949228520940668,1,1.0
1264487199319911803,3,3.0
1585497969847399422,1,
1221866070798006173,2,1.0
1264503264485463405,4,3.5
1108792191152024226,2,1.0
1116616659880182155,3,1.0
1208808634016334973,1,1.0
1155945536402835024,4,3.0
1507773124366821109,1,1.0
1073716230762716836,4,
1462602688950627954,1,1.0
557966923927056566,2,1.5
1422335721731292558,3,2.0
1300863700619001518,2,1.0
1200613096733451469,1,1.0
1534364182510740993,6,3.0
45990672,4,4.5
989730344695208874,4,4.0
1500702117326175292,4,4.0
1372349170837637381,5,4.0
15490900,5,5.5
1604103429022591602,5,4.5
42146441,5,5.5
1408209041174296356,7,4.0
1327763810277732863,2,1.0
890931947722707877,4,4.0
705698357682328215,3,3.0
1373026473349573280,5,4.0
1402510234524441096,3,3.0
1587607580438846565,,
1009403202480669768,5,5.0
1435415278193624102,7,8.0
1545470194090208601,4,5.0
1073685420449412483,4,
1389704176819898804,5,3.0
1317443449256758734,3,3.0
1436510686281979825,5,5.5
1618852355466062880,5,5.0
1307765411651499674,3,3.0
1590771433666840215,4,5.0
1635798593420134671,5,6.0
1427722712478374393,6,5.0
921055669157802876,4,3.5
583239323050291921,9,6.5
790380568359156164,4,4.0
1646731991308747646,3,2.5
840570444535345863,5,4.5
793250519214794991,5,3.0
1571096132163176946,9,3.0
1540866950390106555,3,3.0
1515188443288472134,8,9.0
767250167518106488,2,2.5
1376137007484981933,,1.0
1540867010687173258,4,3.0
1512472639112292825,6,6.0
1565163973926517939,3,2.0
1565542713272257639,6,5.0
1199150166439409254,2,1.0
1389704208895953397,4,4.5
1553674803899835954,3,1.0
1197153629879952777,2,1.5
1616671277738523518,3,4.5
1446377870547604835,7,8.0
1573074742502520340,4,3.0
850656618737813663,1,1.5
1347267116432063019,6,6.0
1096581167183948351,3,3.0
1581793881355263929,5,4.0
1316446128967440000,4,4.5
767261839678201600,3,3.5
1470802297154260358,2,2.5
1006152808275971011,3,3.0
1159548808219672828,3,3.0
1411044632961779189,3,2.5
1450539156354909288,5,4.0
1473713252059796654,2,2.0
1213666123535544748,2,1.0
1200336845948322247,7,7.0
1093452352113471451,6,10.0
1623416388591439901,4,4.5
1275570156151904939,4,3.0
1445646500819337593,3,
43397730,2,2.0
1559864962649978069,5,6.0
1457324740847047677,3,3.0
1002526531958813134,3,3.0
38946242,3,2.5
1203766595395527057,5,4.0
1010234716243191838,1,1.0
1556792299369861049,4,5.0
1452066072137002060,6,6.0
1491129205330448899,5,4.0
1389360838332900247,6,4.0
1276775479827473104,7,8.0
821096960529498282,4,3.5
782481337677395566,6,7.0
1309620393666611436,4,4.0
1405138989550573906,7,9.0
1432551452519222832,10,19.0
1381147120527619593,4,4.0
1445646544282519034,3,
1410285275788709542,1,1.0
1592102038145893024,3,3.0
1445646561843999768,4,
1666578207289164185,5,4.0
1530281632759848179,8,9.0
1329844712827279066,7,0.0
1652916728666072209,3,3.0
54284898,4,4.5
1499508580442133576,6,4.0
1150701674658456921,6,5.0
1294094879751028673,3,3.0
1429721009267866412,6,6.0
1440898402444133817,,
