id,description
1292713234154945280,"Enjoy your stay with Panoramic View of the Giza Pyramids,SphinxYes! view and pictures are all 100% real. (Be sure to check out our other listings too) Indulge in a stunning view of all the Giza Pyramids from anywhere within this contemporary oriental studio or while relaxing in the Jacuzzi. It is also a 10 min walk from the Pyramids entrance gate. To make the most of your trip, make sure to check out our experiences! We're committed to providing our guests the magical hospitality they deserve.The space-This boho studio is within a residential building in a very local & safe neighborhood named Nazlet Al Semman. It features a bright, sparkling clean jacuzzi where guests can chill in warm water after a long day of walking in the busy streets of Giza.- There is a bathroom, kitchenette, sofa bed and a comfortable king size bed.- Fresh, laundered hotel-grade pure Egyptian cotton linen, along with face & body crisp clean towels are provided.- A dining table is also available to use.- Wifi, Cable TV, & Chrome Cast are also available and free of charge.- Complimentary breakfast is served in the rooftop .- Complimentary water, tea,Guest access-Our guests have access to their room/floor, our lobby, and our rooftop .Other things to note-Check-in starts at 2:00PM-Check-out is at 11:00AM-Breakfast is from 8AM-11AM on the rooftop-We are about 30-45 minutes away from Cairo International Airport.-We are about 2.5 hours away from Alexandria.We are about 35 minutes away from Memphis & Saqqara.-The Pyramids Complex is a 10-minute walk away from our property.-There is almost anything you might need within walking distance from the property, including but not limited to: a bank, ATMs, restaurants, coffee shops, shisha shops, pharmacies, mini-markets, bakeries, clothes stores, souvenir shops, jewelry stores, electronics shops, and more!-Our property offers a plethora of Tours throughout Egypt. If there's something in Egypt you'd like to experience, let us know!-We also offer Airport pick-ups or Drop-offs or transportation anywhere in general.-And more! Just ask!"
1508718511630646272,"Welcome To Marhaba Pyramids View Hotel✨Wake up to a breathtaking panorama of the Great Pyramid of Khufu and the golden desert stretching endlessly before you. This exclusive suite offers a private jacuzzi with a direct pyramid view, a cozy balcony perfect for morning coffee or sunset moments, and access to the rooftop terrace, where the magic of Giza unfolds in 360°.Designed for comfort and romance, the room blends modern elegance with timeless views, this is an experience you’ll never forget."
1297327219631789312,"The place is spacious and can accommodate more than 2 people, and has a direct view of the pyramids.It has an outdoor terrace to enjoy the stunning nature and the charming view of the pyramids.There is a kitchen equipped with all the necessary utensils to prepare food.High-speed internet is also available.We can organize tours to visit the pyramids, ride horses and bicycles, as well as visit famous Egyptian museums and landmarks.Airport and other destinations are available on request.🟣 Please note that in case of booking for a man and a woman, a valid marriage document must be provided."
1606001853199411200,"A designer retreat where ancient soul meets modern luxury. This hand-sculpted cave offers a meditative atmosphere with one legendary focus: The Great Pyramids. Relax in your integrated Jacuzzi and watch the sunset over the last remaining Ancient Wonder of the World. ✨The spaceThis space is ""habitable art."" We’ve replaced standard walls with hand-textured, organic curves to create a cool, quiet, and cave-like environment. The ""Cave"" is fully equipped with:Sleep: A premium Queen-sized bed (160 x 200 cm)  tucked into a cozy stone alcove for the ultimate deep rest.Wellness: Private integrated Jacuzzi with a direct Pyramid view. Kitchenette: Everything you need—Mini-fridge, Microwave, Electric Cooktop, Kettle, and Sink. Beauty & Care: A dedicated stone vanity with a backlit mirror and a hair dryer provided.✨Entertainment: Smart TV recessed into the cave wall + high-speed Wi-Fi. Climate & Storage: Powerful AC for a crisp ""cave-cool"" feel and a built-in wardrobe for your belongings. Every detail is built into the architecture, keeping the focus entirely on the design and that incredible view.Guest accessThe entire ""Mountain Cave"" is yours. You have 100% private access to the studio, the integrated Jacuzzi, the kitchenette, and the bathroom. Your privacy is our priority.Other things to noteThe View: Unobstructed views of the Pyramids directly from your window and Jacuzzi. The Neighborhood: We are in a real, bustling local community. Expect the ""unfiltered"" energy of Giza—local markets and the call to prayer.The Building: While the suite is a high-end designer escape, it is located inside a traditional, local residential building."
1314833467096489984,"Enjoy stay in Single RoomTHE ROOM FEATURES1 Queen bed, air conditioning, heater, satellite TV, minibar, and essential amenities like a desk, mirror, wardrobe, safe, and clothes hangers. THE BATHROOM FEATUREStowels, shampoo, shower gel, hand soap, and a hairdryer. START YOUR DAY WITH DAILYhousekeeping, bottled water, tea, Nescafé, and sugar. ENJOY FREEaccess to our Panorama Pyramids View Rooftop Restaurant anytime. My staff is available 24/7 to meet your needs.Guest access24/7 Reception with Professional StaffWe offer a 24/7 reception with a professional staff ready to assist you at any time. No matter how late your arrival is, you can check in whenever it’s convenient for you. We're here to ensure your stay is smooth and comfortable from the moment you arrive!"
1659657874693440512,"Luxury apartment with a direct view of the Nile in Old Cairo, opposite Manial Island.3 bedrooms (including a master bedroom) that can accommodate 6 guests, and 3 bathrooms.Lake view from the living room and master bedroom.Fully equipped open-plan American kitchen with dining table.Fully air-conditioned.Functional furniture with a hotel-inspired design.Excellent location, close to services and easy to get to."
1325995807818486784,"We rear and unique in Giza! Bedroom is a part of our home/horse farm with a queen bed (160x200cm)  and its own shower. Corner  BEST room with open views to desert and pyramids. Opens to large shared terrace. The room is a corner room and just above the street, so you hear local street noise - horses, visitors sitting downstairs  etc.. Remember - egypt never sleeps ! No wifi available, please obtain local sim with data on arrival.Fans free  , AC and heating at 3Euro per nightNO ORFIThe space⏰ CHECK-IN / CHECK-OUT POLICYNO EARLY CHECK-IN / NO LATE CHECK-OUT• Check-in: after 2:00 PM• Check-out: by 11:00 AMIf you wish to arrive earlier or leave later, please book an extra night to avoid disappointment.🎒 BAG STORAGE / DROP-OFF ONLYAvailable while the house is being prepared.This is drop-off only — no hanging out around the house.• Small bag: 100 EGP (≈ $3 USD)• Large bag: 200 EGP (≈ $6 USD)🌿 ABOUT THE PLACE – PLEASE READ CAREFULLYThis is a simple, farm-style home, oriented toward eco-sustainable living.The room is located above our stables, home to 80+ horses and donkeys 🐎. • Accessed by stairs through the stables entrance• This is a self-catering HOME, not a hotel — expect a homely atmosphere.•  there is NO room service nor servants. You carry your bags, bring your own cigarettes and take care of room cleanliness etc. If you like bedding and towels changed daily there will be an additional charge. We have NO room service nor servants. You carry your bags, make your own tea, bring your own capsules for coffee machine and take care of room cleanliness etc. If you like bedding and towels changed daily, additional toilet paper there will be additional charge. This listing is not just about the room itself, but also about the location. Unfortunately, many guests do not read the full description, especially the notes about the surroundings, and then we are penalized in ratings for things that are clearly disclosed and beyond our control.Egypt has a very specific lifestyle and environment, and where we are is a very old shabby area. We are located above multiple stables and surrounded by mosques, people riding horses 24/7, locals have goats and roosters on roof tops, which means there can be animal sounds and call to prayer. This is stated in the listing, but these elements cannot be changed or silenced. Thats why the cost of the room is lower than other kind of same quality accommodation which should be appreciated not low rated. That's why I sent you a message to give attention to these details.⚡ ELECTRICITY & SUSTAINABILITYEgypt experiences occasional electricity shortages, which are beyond our control.Please be mindful:• Lights OFF when not in use• Do not leave lights on when leaving the room or apartmentIf lights are left on, we will switch them off (by entering the room if needed).Please help us protect the environment 🌍 and reduce waste.🛏️ AMENITIES• Bedding & towels provided• No hairdryer available• NO Wi-Fi — please arrange an eSIM or local SIM for internet• Fan provided free of charge• Heating & A/C available at €3 per day per unit• Universal power sockets (one includes USB)👧 CHILD POLICYChildren over 10 years old are welcome under full parental supervision.Please note:• Animals, cactus, stairs, terraces, and multiple levels• No kids’ entertainment providedParents are fully responsible for their child’s safety and free time.🇪🇬 IMPORTANT – EGYPTIAN GUESTSNO ORFIOnly officially registered marriages are accepted, in accordance with local law.NO VISITORS from outside allowed. No drivers, friends or your tour guides , this is our home not a public place.Guest accessHouse open areas are shared with us and other guests. You may use all terraces in respectful way.📍 LOCATION & ARRIVALOur street is unique — full of horses, donkeys, and camels. Not easy to find, but that’s old Giza charm! You’ll enjoy open Pyramid views and spacious outdoor areas.If you want tourist hustle right at the Pyramid gate, this is not the place for you. Museums & Pyramids are 9–20 min by foot or car, markets & restaurants just 5 min away by tuk-tuk or walk.Recommended: Use our trusted drivers.• English-speaking & know the area• Will show you the house, doors, and room• Arrival is stress-freeIf you take your own transport, follow our Google Maps location carefully. Most drivers don’t know our street, and we cannot provide assistance at night.⚠️ Arrival on your own is at your own risk — no refunds if the driver gets lost.INTERACTION WITH GUESTSHOST INTERACTIONWe live on the property, so we are often around and available if needed.However, please understand that we run a busy household and equestrian place, so we cannot spend long hours socializing or giving history lessons. We kindly ask guests to do their own research before arrival.When time allows, we are happy to interact, assist, and help with practical matters.OTHER DETAILSPLEASE READ CAREFULLY BEFORE BOOKINGWe live in Masr (not “Egypt” as a concept 😉 — Google the difference!)This is a desert & horse-stables area, not a city or resort location.⚠️ If you don’t like animals, this is NOT the place for you. Sorry.🐎 ANIMALS & ENVIRONMENTWe live above active horse stables, so please expect:• Natural smells at times• Sounds from horses and donkeys (horses love talking 😄)• Flies, dust• Local noise especially on weekends as many riders come to the area to enjoy late nights and early ridesWe also share our home with:• 🐱 Shaqia, our very curious and friendly cat (she loves sleeping on beds)• 🐶 Two rescued chihuahuas — friendly but still cautious with new people(They love guests and treats — limited please, ask first!)This is a very Egyptian, authentic environment.❌ Do NOT expect 5-star streets or polished surroundings.✔ Expect simple, real local life, very different from downtown or tourist areas.We have dust, flies, desert air, and nature — this is part of where we live and what we love.If you are not open-minded or sensitive to these realities, this place may not suit you.🏜️ LOCATION & SURROUNDINGS• Desert & stables area• We do not control street activity• Supermarket just a few minutes’ walk for basics• We can take you to a local market for vegetables, fruits, and moreDuring your stayWe live on the property, so we are often around and available if needed.However, please understand that we run a busy household and equestrian place, so we cannot spend long hours socializing or giving history lessons. We kindly ask guests to do their own research before arrival.When time allows, we are happy to interact, assist, and help with practical matters.Other things to notePLEASE READ CAREFULLY BEFORE BOOKINGWe live in Masr (not “Egypt” as a concept 😉 — Google the difference!)This is a desert & horse-stables area, not a city or resort location.⚠️ If you don’t like animals, this is NOT the place for you. Sorry.🐎 ANIMALS & ENVIRONMENTWe live above active horse stables, so please expect:• Natural smells at times• Sounds from horses and donkeys (horses love talking 😄)• Flies, dust• Local noise especially on weekends as many riders come to the area to enjoy late nights and early ridesWe also share our home with:• 🐱 Shaqia, our very curious and friendly cat (she loves sleeping on beds)• 🐶 Two rescued chihuahuas — friendly but still cautious with new people(They love guests and treats — limited please, ask first!)This is a very Egyptian, authentic environment.❌ Do NOT expect 5-star streets or polished surroundings.✔ Expect simple, real local life, very different from downtown or tourist areas.We have dust, flies, desert air, and nature — this is part of where we live and what we love.If you are not open-minded or sensitive to these realities, this place may not suit you.🏜️ LOCATION & SURROUNDINGS• Desert & stables area• We do not control street activity• Supermarket just a few minutes’ walk for basics• We can take you to a local market for vegetables, fruits, and more🌱 SUSTAINABILITY• Drinking water filters provided• We recycle almost everything🧺 LAUNDRY SERVICELaundry available at additional cost:• €3 per load• Large-capacity, top-load machines only• No small loads. Guest hangs items themselves after washing.If you need specific washing requirements, we recommend using a city laundry service (we can’t recommend one as we don’t use them ourselves).🍳 BREAKFASTLocal-style breakfast available at €3 per person (on request).EXPERIENCES & EXTRAS (ON REQUEST)As we operate a professional equestrian facility, we offer the following activities:• Horse riding lessons• Horse carriage rides to the Pyramids• Sunrise / sunset desert rides• Horse riding to the Pyramids or desert💶 From €25 per person per hourWELLNESS & FOOD• Full-body massage, foot massage, and other treatments available• BBQ or Egyptian home-cooked meals available by request only– Pre-booking and pre-payment required– Price depends on number of guests and selected menu– Not available on short noticeDRINKS & SHISHA• Shisha, local coffee, and tea available from the downstairs coffee shop• Can also be provided by us at an additional charge🏠 HOUSE RULES – VERY IMPORTANT• NO outside guests allowed(No drivers, friends, guides, or visitors — this is our home not a public place)• NO ORFI (unless 2 rooms booked)• Please treat the home with care —many mismatched or damaged items are sadly from previous stays.This is a unique place, run with love, animals, dust, imperfections, and heart.We promise to do our best for you, as long as expectations are realistic 🤍"
1635000929921804288,"Dream Inn Pyramids View Suite offers a unique stay in Giza with stunning views of the iconic Pyramids of Giza. Relax in a luxurious bathtub while enjoying the breathtaking pyramid view. The suite features a comfortable king bed, modern amenities, fast Wi-Fi, and air conditioning for a perfect stay. Located just 1 minute from the historic Marriott Mena House, with easy access to restaurants and the pyramids entrance. Perfect for a romantic and unforgettable experience."
1292713202731607808,"Enjoy your stay with Panoramic View of the giza pyramids,sphinxYes! view and pictures are all 100% real. (Be sure to check out our other listings too) Indulge in a stunning view of all the Giza Pyramids from anywhere within this contemporary oriental studio or while relaxing in the Jacuzzi. It is also a 10 min walk from the Pyramids entrance gate. To make the most of your trip, make sure to check out our experiences!We're committed to providing our guests the magical hospitality they deserve.The space-This boho studio is within a residential building in a very local & safe neighborhood named Nazlet Al Semman. It features a bright, sparkling clean jacuzzi where guests can chill in warm water after a long day of walking in the busy streets of Giza.- There is a bathroom, kitchenette and a comfortable king size bed or 2 single beds.- Fresh, laundered hotel-grade pure Egyptian cotton linen, along with face & body crisp clean towels are provided.- A dining table is also available to use.- Wifi, Cable TV, & Chrome Cast are also available and free of charge.- Complimentary breakfast is served in the rooftop .- Complimentary water, tea,Please note that Arab and Egyptian citizens are required to submit proof of marriage before check in.Guest access-Our guests have access to their room/floor, our lobby, and our rooftopOther things to note-Check-in starts at 2:00PM-Check-out is at 11:00AM-Breakfast is from 8AM-11AM on the rooftop-We are about 30-45 minutes away from Cairo International Airport.-We are about 2.5 hours away from Alexandria.We are about 35 minutes away from Memphis & Saqqara.-The Pyramids Complex is a 10-minute walk away from our property.-There is almost anything you might need within walking distance from the property, including but not limited to: a bank, ATMs, restaurants, coffee shops, shisha shops, pharmacies, mini-markets, bakeries, clothes stores, souvenir shops, jewelry stores, electronics shops, and more!-Our property offers a plethora of Tours throughout Egypt. If there's something in Egypt you'd like to experience, let us know!-We also offer Airport pick-ups or Drop-offs or transportation anywhere in general.-And more! Just ask!"
1492832915624769792,"Stay in the heart of Giza with breathtaking views of the Pyramids and the Grand Egyptian Museum, visible right from your balcony. Located on a high floor, the apartment is quiet and peaceful, with modern design blended beautifully with ancient touches. The building has two elevators, and downstairs you’ll find a hypermarket, bakery, and groceries. Easy to reach and close to all major attractions, this is the perfect mix of comfort, history, and convenience.The spacePyramids View Residence Apartment – 3 Bedrooms, 2 BathroomsExperience unforgettable mornings and magical sunsets with direct views of the iconic Pyramids of Giza from your very own apartment. This spacious and comfortable 3-bedroom, 2-bathroom home is perfect for families or groups.Apartment Details:	•	Master Bedroom: Features a luxurious two king-size beds with a breathtaking view of the Pyramids.	•	Second Bedroom: Equipped with two cozy single beds and also offers a direct Pyramids view. T— the perfect spot to relax and take in the scenery.	•	Third Bedroom (Standard Room): Contains two comfortable single beds, ideal for extra guests or children also offers a direct Pyramids view .Bathrooms: Two clean and modern bathrooms are available for your convenience.Whether you’re sipping coffee on the balcony or relaxing in the spacious living area, this apartment combines comfort with one of the world’s most spectacular views .Guest accessPyramids view Residence Apartment guests gonna be able to use the whole space of the apartmentOther things to noteAs per Egyptian law and local regulations, guests from Arab countries or Muslim backgrounds are kindly requested to provide an official marriage certificate (orfi contracts are not accepted). Please note that visitors are not allowed in the Apartment"
